Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method
10043,2024-02-12,Clothing,Uniqlo Heattech Shirt,5,19.99,99.95,Australia,Debit Card
10044,2024-02-13,Electronics,iPad 10th Gen,3,449.99,1349.97,Asia,Credit Card
10045,2024-02-14,Home Appliances,KitchenAid Mixer,1,329.99,329.99,Europe,PayPal
10046,2024-02-15,Books,Rich Dad Poor Dad,5,16.99,84.95,North America,Apple Pay
10047,2024-02-16,Beauty Products,Neutrogena Skincare Set,1,89.99,89.99,Africa,Bank Transfer
10048,2024-02-17,Electronics,MacBook Air M2,5,1199.99,5999.95,Asia,PayPal
10049,2024-02-18,Beauty Products,CeraVe Moisturizer,1,17.99,17.99,Asia,PayPal
10050,2024-02-19,Home Appliances,Instant Pot Duo,3,89.99,269.97,North America,Apple Pay
10051,2024-02-20,Toys,Hot Wheels Track Set,2,34.99,69.98,North America,Bank Transfer
10052,2024-02-21,Clothing,Zara Wool Coat,4,149.99,599.96,Africa,PayPal
10053,2024-02-22,Clothing,Puma Track Pants,1,44.99,44.99,Australia,PayPal
10054,2024-02-23,Clothing,Nike Air Max,3,129.99,389.97,South America,Apple Pay
10055,2024-02-24,Home Appliances,Philips Air Fryer,4,129.99,519.96,Asia,Credit Card
10056,2024-02-25,Beauty Products,The Ordinary Serum,1,19.99,19.99,Europe,Apple Pay
10057,2024-02-26,Electronics,Apple Watch Series 9,2,399.99,799.98,South America,Apple Pay
10058,2024-02-27,Clothing,Uniqlo Heattech Shirt,3,19.99,59.97,South America,Credit Card
10059,2024-02-28,Beauty Products,The Ordinary Serum,1,19.99,19.99,Africa,PayPal
10060,2024-02-29,Sports,Nike Basketball,5,29.99,149.95,Europe,Credit Card
10061,2024-03-01,Toys,Hot Wheels Track Set,4,34.99,139.96,Australia,PayPal
10062,2024-03-02,Sports,Adjustable Dumbbells,2,199.99,399.98,Europe,Bank Transfer
10063,2024-03-03,Home Appliances,Roomba i3,5,349.99,1749.95,South America,Credit Card
10064,2024-03-04,Clothing,Uniqlo Heattech Shirt,4,19.99,79.96,Africa,Credit Card
10065,2024-03-05,Beauty Products,Neutrogena Skincare Set,2,89.99,179.98,North America,Debit Card
10066,2024-03-06,Home Appliances,KitchenAid Mixer,2,329.99,659.98,Australia,Apple Pay
10067,2024-03-07,Books,The Silent Patient,4,14.99,59.96,South America,Credit Card
10068,2024-03-08,Home Appliances,Dyson V11 Vacuum,2,499.99,999.98,South America,Credit Card
10069,2024-03-09,Clothing,Zara Wool Coat,4,149.99,599.96,Africa,Debit Card
10070,2024-03-10,Home Appliances,Ninja Blender,2,79.99,159.98,North America,Apple Pay
10071,2024-03-11,Clothing,Levi's 501 Jeans,1,69.99,69.99,North America,Credit Card
10072,2024-03-12,Sports,Yoga Mat Pro,5,39.99,199.95,South America,Credit Card
10073,2024-03-13,Electronics,Samsung Galaxy S23,4,899.99,3599.96,Australia,Bank Transfer
10074,2024-03-14,Clothing,Adidas Hoodie,3,59.99,179.97,Asia,PayPal
10075,2024-03-15,Electronics,iPhone 14 Pro,1,999.99,999.99,Asia,PayPal
10076,2024-03-16,Electronics,Dell XPS 13,4,999.99,3999.96,Asia,Debit Card
10077,2024-03-17,Sports,Fitbit Charge 5,1,149.99,149.99,Africa,Apple Pay
10078,2024-03-18,Home Appliances,Dyson V11 Vacuum,5,499.99,2499.95,Europe,Debit Card
10079,2024-03-19,Toys,Rubik's Cube,4,9.99,39.96,Asia,Credit Card
10080,2024-03-20,Home Appliances,Philips Air Fryer,4,129.99,519.96,North America,Credit Card
10081,2024-03-21,Sports,Fitbit Charge 5,2,149.99,299.98,Australia,Apple Pay
10082,2024-03-22,Home Appliances,Instant Pot Duo,2,89.99,179.98,Australia,Bank Transfer
10083,2024-03-23,Home Appliances,Roomba i3,5,349.99,1749.95,North America,PayPal
10084,2024-03-24,Clothing,Levi's 501 Jeans,2,69.99,139.98,Australia,Bank Transfer
10085,2024-03-25,Beauty Products,CeraVe Moisturizer,4,17.99,71.96,Europe,Apple Pay
10086,2024-03-26,Electronics,AirPods Pro 2,3,249.99,749.97,Africa,PayPal
10087,2024-03-27,Clothing,Zara Wool Coat,2,149.99,299.98,Australia,Apple Pay
10088,2024-03-28,Home Appliances,Dyson V11 Vacuum,1,499.99,499.99,Australia,Debit Card
10089,2024-03-29,Toys,Nerf Blaster,4,24.99,99.96,South America,PayPal
10090,2024-03-30,Sports,Adjustable Dumbbells,1,199.99,199.99,Australia,Bank Transfer
10091,2024-03-31,Beauty Products,Neutrogena Skincare Set,5,89.99,449.95,Africa,Bank Transfer
10092,2024-04-01,Beauty Products,Maybelline Mascara,5,9.99,49.95,Australia,Apple Pay
10093,2024-04-02,Clothing,Uniqlo Heattech Shirt,4,19.99,79.96,Africa,Debit Card
10094,2024-04-03,Electronics,Apple Watch Series 9,2,399.99,799.98,Africa,Apple Pay
10095,2024-04-04,Books,Atomic Habits,1,18.99,18.99,Australia,Bank Transfer
10096,2024-04-05,Beauty Products,L'Oreal Shampoo,2,12.99,25.98,North America,Credit Card
10097,2024-04-06,Toys,Nerf Blaster,2,24.99,49.98,South America,Bank Transfer
10098,2024-04-07,Clothing,Puma Track Pants,1,44.99,44.99,Africa,Apple Pay
10099,2024-04-08,Books,The Da Vinci Code,2,15.99,31.98,Africa,Credit Card
10100,2024-04-09,Sports,Fitbit Charge 5,2,149.99,299.98,Asia,Bank Transfer
10101,2024-04-10,Books,Atomic Habits,3,18.99,56.97,Europe,Debit Card
10102,2024-04-11,Toys,Nerf Blaster,3,24.99,74.97,Africa,Bank Transfer
10103,2024-04-12,Books,The Silent Patient,5,14.99,74.95,South America,Bank Transfer
10104,2024-04-13,Sports,Yoga Mat Pro,2,39.99,79.98,Africa,PayPal
10105,2024-04-14,Clothing,Nike Air Max,2,129.99,259.98,North America,PayPal
10106,2024-04-15,Sports,Adjustable Dumbbells,1,199.99,199.99,Australia,Debit Card
10107,2024-04-16,Electronics,Dell XPS 13,5,999.99,4999.95,Australia,Debit Card
10108,2024-04-17,Books,Rich Dad Poor Dad,3,16.99,50.97,Africa,Bank Transfer
10109,2024-04-18,Books,Sapiens,4,22.99,91.96,North America,Credit Card
10110,2024-04-19,Toys,Rubik's Cube,3,9.99,29.97,Asia,PayPal
10111,2024-04-20,Home Appliances,Ninja Blender,2,79.99,159.98,Asia,Debit Card
10112,2024-04-21,Beauty Products,The Ordinary Serum,4,19.99,79.96,Asia,PayPal
10113,2024-04-22,Clothing,Adidas Hoodie,5,59.99,299.95,Africa,Credit Card
10114,2024-04-23,Books,Sapiens,3,22.99,68.97,Australia,Apple Pay
10115,2024-04-24,Toys,LEGO Star Wars Set,4,79.99,319.96,North America,Debit Card
10116,2024-04-25,Books,The Da Vinci Code,5,15.99,79.95,Europe,Apple Pay
10117,2024-04-26,Beauty Products,L'Oreal Shampoo,3,12.99,38.97,Europe,Apple Pay
10118,2024-04-27,Beauty Products,The Ordinary Serum,4,19.99,79.96,Asia,Debit Card
10119,2024-04-28,Home Appliances,Philips Air Fryer,5,129.99,649.95,Europe,Bank Transfer
10120,2024-04-29,Toys,LEGO Star Wars Set,2,79.99,159.98,Australia,Bank Transfer
10121,2024-04-30,Beauty Products,L'Oreal Shampoo,3,12.99,38.97,Asia,Apple Pay
10122,2024-05-01,Clothing,Levi's 501 Jeans,3,69.99,209.97,South America,PayPal
10123,2024-05-02,Clothing,Zara Wool Coat,2,149.99,299.98,Australia,PayPal
10124,2024-05-03,Toys,Rubik's Cube,1,9.99,9.99,South America,Credit Card
10125,2024-05-04,Clothing,Adidas Hoodie,3,59.99,179.97,Africa,Debit Card
10126,2024-05-05,Sports,Nike Basketball,3,29.99,89.97,Australia,PayPal
10127,2024-05-06,Beauty Products,Neutrogena Skincare Set,3,89.99,269.97,Africa,Apple Pay
10128,2024-05-07,Clothing,Levi's 501 Jeans,4,69.99,279.96,Asia,Debit Card
10129,2024-05-08,Books,Atomic Habits,4,18.99,75.96,South America,PayPal
10130,2024-05-09,Clothing,Uniqlo Heattech Shirt,3,19.99,59.97,North America,Apple Pay
10131,2024-05-10,Toys,Barbie Dreamhouse,3,199.99,599.97,North America,Debit Card
10132,2024-05-11,Books,The Da Vinci Code,2,15.99,31.98,South America,Bank Transfer
10133,2024-05-12,Toys,Rubik's Cube,2,9.99,19.98,North America,Debit Card
10134,2024-05-13,Toys,Hot Wheels Track Set,4,34.99,139.96,Australia,Bank Transfer
10135,2024-05-14,Beauty Products,L'Oreal Shampoo,1,12.99,12.99,North America,Debit Card
10136,2024-05-15,Electronics,Sony WH-1000XM5,3,349.99,1049.97,Africa,PayPal
10137,2024-05-16,Toys,Barbie Dreamhouse,5,199.99,999.95,South America,Apple Pay
10138,2024-05-17,Books,The Silent Patient,3,14.99,44.97,Europe,PayPal
10139,2024-05-18,Books,Sapiens,4,22.99,91.96,Australia,Credit Card
10140,2024-05-19,Beauty Products,Neutrogena Skincare Set,5,89.99,449.95,Australia,PayPal
10141,2024-05-20,Toys,Hot Wheels Track Set,4,34.99,139.96,Africa,Credit Card
10142,2024-05-21,Beauty Products,Neutrogena Skincare Set,5,89.99,449.95,North America,Apple Pay
10143,2024-05-22,Home Appliances,Ninja Blender,5,79.99,399.95,Africa,Debit Card
10144,2024-05-23,Sports,Adjustable Dumbbells,3,199.99,599.97,Europe,Bank Transfer
10145,2024-05-24,Home Appliances,Instant Pot Duo,2,89.99,179.98,South America,Apple Pay
10146,2024-05-25,Books,Atomic Habits,5,18.99,94.95,South America,Bank Transfer
10147,2024-05-26,Electronics,Apple Watch Series 9,4,399.99,1599.96,South America,Apple Pay
10148,2024-05-27,Beauty Products,L'Oreal Shampoo,4,12.99,51.96,North America,Credit Card
10149,2024-05-28,Books,Atomic Habits,5,18.99,94.95,Europe,Debit Card
10150,2024-05-29,Clothing,Adidas Hoodie,1,59.99,59.99,South America,Debit Card
10151,2024-05-30,Home Appliances,KitchenAid Mixer,5,329.99,1649.95,Asia,Bank Transfer
10152,2024-05-31,Toys,Barbie Dreamhouse,3,199.99,599.97,North America,PayPal
10153,2024-06-01,Books,Sapiens,5,22.99,114.95,Africa,Bank Transfer
10154,2024-06-02,Clothing,Adidas Hoodie,3,59.99,179.97,Africa,PayPal
10155,2024-06-03,Beauty Products,Neutrogena Skincare Set,5,89.99,449.95,South America,PayPal
10156,2024-06-04,Books,The Silent Patient,1,14.99,14.99,Europe,Apple Pay
10157,2024-06-05,Home Appliances,Dyson V11 Vacuum,4,499.99,1999.96,South America,Bank Transfer
10158,2024-06-06,Electronics,Dell XPS 13,2,999.99,1999.98,North America,Credit Card
10159,2024-06-07,Clothing,Puma Track Pants,2,44.99,89.98,Africa,Bank Transfer
10160,2024-06-08,Books,The Silent Patient,5,14.99,74.95,North America,Debit Card
10161,2024-06-09,Home Appliances,Ninja Blender,1,79.99,79.99,Australia,Credit Card
10162,2024-06-10,Sports,Fitbit Charge 5,3,149.99,449.97,Asia,Credit Card
10163,2024-06-11,Electronics,Dell XPS 13,3,999.99,2999.97,Europe,Credit Card
10164,2024-06-12,Clothing,Puma Track Pants,2,44.99,89.98,Asia,Credit Card
10165,2024-06-13,Beauty Products,Neutrogena Skincare Set,5,89.99,449.95,South America,Debit Card
10166,2024-06-14,Beauty Products,CeraVe Moisturizer,1,17.99,17.99,Africa,Bank Transfer
10167,2024-06-15,Electronics,Apple Watch Series 9,1,399.99,399.99,North America,Apple Pay
10168,2024-06-16,Clothing,Levi's 501 Jeans,2,69.99,139.98,Australia,Apple Pay
10169,2024-06-17,Sports,Nike Basketball,4,29.99,119.96,Australia,Bank Transfer
10170,2024-06-18,Sports,Yoga Mat Pro,1,39.99,39.99,Australia,PayPal
10171,2024-06-19,Toys,LEGO Star Wars Set,2,79.99,159.98,Africa,Apple Pay
10172,2024-06-20,Home Appliances,Ninja Blender,3,79.99,239.97,South America,Debit Card
10173,2024-06-21,Sports,Adjustable Dumbbells,3,199.99,599.97,Asia,Debit Card
10174,2024-06-22,Home Appliances,Dyson V11 Vacuum,4,499.99,1999.96,South America,Bank Transfer
10175,2024-06-23,Sports,Wilson Tennis Racket,1,89.99,89.99,Europe,Apple Pay
10176,2024-06-24,Books,Rich Dad Poor Dad,2,16.99,33.98,South America,Bank Transfer
10177,2024-06-25,Electronics,Dell XPS 13,1,999.99,999.99,South America,Bank Transfer
10178,2024-06-26,Beauty Products,L'Oreal Shampoo,5,12.99,64.95,Asia,PayPal
10179,2024-06-27,Electronics,Dell XPS 13,2,999.99,1999.98,Africa,Debit Card
10180,2024-06-28,Toys,Hot Wheels Track Set,2,34.99,69.98,Europe,PayPal
10181,2024-06-29,Home Appliances,KitchenAid Mixer,4,329.99,1319.96,Asia,Bank Transfer
10182,2024-06-30,Toys,Nerf Blaster,3,24.99,74.97,Australia,Debit Card
10183,2024-07-01,Home Appliances,Roomba i3,5,349.99,1749.95,Australia,PayPal
10184,2024-07-02,Toys,Hot Wheels Track Set,2,34.99,69.98,Australia,PayPal
10185,2024-07-03,Clothing,Nike Air Max,3,129.99,389.97,Australia,Debit Card
10186,2024-07-04,Clothing,Uniqlo Heattech Shirt,5,19.99,99.95,South America,PayPal
10187,2024-07-05,Toys,Rubik's Cube,1,9.99,9.99,Australia,Debit Card
10188,2024-07-06,Home Appliances,Ninja Blender,3,79.99,239.97,Asia,PayPal
10189,2024-07-07,Toys,Barbie Dreamhouse,1,199.99,199.99,Africa,PayPal
10190,2024-07-08,Home Appliances,Philips Air Fryer,4,129.99,519.96,Australia,Bank Transfer
10191,2024-07-09,Beauty Products,L'Oreal Shampoo,5,12.99,64.95,Australia,Debit Card
10192,2024-07-10,Electronics,iPhone 14 Pro,3,999.99,2999.97,Africa,Apple Pay
10193,2024-07-11,Toys,Rubik's Cube,3,9.99,29.97,Asia,Debit Card
10194,2024-07-12,Home Appliances,KitchenAid Mixer,2,329.99,659.98,Australia,PayPal
10195,2024-07-13,Clothing,Levi's 501 Jeans,4,69.99,279.96,Europe,Debit Card
10196,2024-07-14,Toys,Barbie Dreamhouse,5,199.99,999.95,Australia,Debit Card
10197,2024-07-15,Sports,Fitbit Charge 5,3,149.99,449.97,Australia,Apple Pay
10198,2024-07-16,Home Appliances,KitchenAid Mixer,4,329.99,1319.96,Asia,Credit Card
10199,2024-07-17,Clothing,Zara Wool Coat,5,149.99,749.95,Australia,Debit Card
10200,2024-07-18,Beauty Products,CeraVe Moisturizer,1,17.99,17.99,North America,Credit Card
